,Date,Hour,SUMS
0,01.01.2016,0,2545.868
1,02.01.2016,0,2605.729
2,03.01.2016,0,2618.584
3,04.01.2016,0,2732.145
4,05.01.2016,0,2428.665
5,06.01.2016,0,2486.329
6,07.01.2016,0,2625.314
7,08.01.2016,0,2318.943
8,09.01.2016,0,2565.81
9,10.01.2016,0,3737.823
10,11.01.2016,0,2410.508
11,12.01.2016,0,2307.691
12,13.01.2016,0,2582.638
13,14.01.2016,0,2215.07
14,15.01.2016,0,2418.813
15,16.01.2016,0,3065.809
16,17.01.2016,0,2793.983
17,18.01.2016,0,2269.635
18,19.01.2016,0,2479.579
19,20.01.2016,0,2262.093
20,21.01.2016,0,2384.599
21,22.01.2016,0,2794.437
22,23.01.2016,0,3063.835
23,24.01.2016,0,3027.762
24,25.01.2016,0,2569.868
25,26.01.2016,0,2134.175
26,27.01.2016,0,2526.595
27,28.01.2016,0,2599.322
28,29.01.2016,0,2390.346
29,30.01.2016,0,2525.365
30,31.01.2016,0,2802.416
31,01.02.2016,0,2144.146
32,02.02.2016,0,2380.694
33,03.02.2016,0,2598.186
34,04.02.2016,0,2644.677
35,05.02.2016,0,2264.463
36,06.02.2016,0,2694.546
37,07.02.2016,0,2988.681
38,08.02.2016,0,2233.038
39,09.02.2016,0,2497.172
40,10.02.2016,0,2609.097
41,11.02.2016,0,2345.529
42,12.02.2016,0,2498.13
43,13.02.2016,0,2367.312
44,14.02.2016,0,2738.819
45,15.02.2016,0,2529.55
46,16.02.2016,0,2538.822
47,17.02.2016,0,2260.781
48,18.02.2016,0,2449.717
49,19.02.2016,0,2207.859
50,20.02.2016,0,2514.571
51,21.02.2016,0,3170.485
52,22.02.2016,0,2407.358
53,23.02.2016,0,2242.226
54,24.02.2016,0,2562.366
55,25.02.2016,0,2272.863
56,26.02.2016,0,2185.436
57,27.02.2016,0,2807.082
58,28.02.2016,0,2796.749
59,29.02.2016,0,2274.277
60,01.03.2016,0,2331.671
61,02.03.2016,0,2133.066
62,03.03.2016,0,2141.225
63,04.03.2016,0,2361.263
64,05.03.2016,0,2438.643
65,06.03.2016,0,2813.065
66,07.03.2016,0,2055.894
67,08.03.2016,0,2082.26
68,09.03.2016,0,2232.947
69,10.03.2016,0,2084.939
70,11.03.2016,0,2255.478
71,12.03.2016,0,2375.981
72,13.03.2016,0,2441.763
73,14.03.2016,0,1878.322
74,15.03.2016,0,2065.257
75,16.03.2016,0,2240.908
76,17.03.2016,0,2306.508
77,18.03.2016,0,2248.707
78,19.03.2016,0,2445.553
79,20.03.2016,0,2701.9
80,21.03.2016,0,2149.49
81,22.03.2016,0,2267.924
82,23.03.2016,0,2480.434
83,24.03.2016,0,2136.507
84,25.03.2016,0,2421.002
85,26.03.2016,0,2332.838
86,27.03.2016,0,2631.792
87,28.03.2016,0,2186.599
88,29.03.2016,0,2357.933
89,30.03.2016,0,2158.672
90,31.03.2016,0,2242.619
91,01.04.2016,0,2212.798
92,02.04.2016,0,2343.098
93,03.04.2016,0,3028.461
94,04.04.2016,0,2422.235
95,05.04.2016,0,2224.405
96,06.04.2016,0,2386.514
97,07.04.2016,0,2161.919
98,08.04.2016,0,2318.34
99,09.04.2016,0,2614.409
100,10.04.2016,0,2696.216
101,11.04.2016,0,1888.429
102,12.04.2016,0,2362.393
103,13.04.2016,0,2175.497
104,14.04.2016,0,2115.283
105,15.04.2016,0,2382.671
106,16.04.2016,0,2767.443
107,17.04.2016,0,2497.358
108,18.04.2016,0,2463
109,19.04.2016,0,1756.682
110,20.04.2016,0,1804.99
111,21.04.2016,0,1572.711
112,22.04.2016,0,1840.012
113,23.04.2016,0,1865.114
114,24.04.2016,0,1976.677
115,25.04.2016,0,1670.283
116,26.04.2016,0,1601.585
117,27.04.2016,0,1697.81
118,28.04.2016,0,1782.255
119,29.04.2016,0,1830.853
120,30.04.2016,0,2436.049
121,01.05.2016,0,2591.128
122,02.05.2016,0,2213.199
123,03.05.2016,0,2189.935
124,04.05.2016,0,2452.602
125,05.05.2016,0,2268.059
126,06.05.2016,0,2301.231
127,07.05.2016,0,2318.171
128,08.05.2016,0,2772.111
129,09.05.2016,0,2014.021
130,10.05.2016,0,2300.993
131,11.05.2016,0,2206.13
132,12.05.2016,0,2172.641
133,13.05.2016,0,2100.2
134,14.05.2016,0,2573.926
135,15.05.2016,0,2379.457
136,16.05.2016,0,2038.8
137,17.05.2016,0,2242.274
138,18.05.2016,0,2168.882
139,19.05.2016,0,2047.911
140,20.05.2016,0,2352.382
141,21.05.2016,0,2401.74
142,22.05.2016,0,2708.679
143,23.05.2016,0,2285.398
144,24.05.2016,0,2075.491
145,25.05.2016,0,2105.295
146,26.05.2016,0,2257.893
147,27.05.2016,0,2317.854
148,28.05.2016,0,2324.36
149,29.05.2016,0,2383.749
150,30.05.2016,0,2279.971
151,31.05.2016,0,2141.198
152,01.06.2016,0,2233.304
153,02.06.2016,0,2188.075
154,03.06.2016,0,2427.353
155,04.06.2016,0,2143.759
156,05.06.2016,0,1923.599
157,06.06.2016,0,1647.436
158,07.06.2016,0,1828.259
159,08.06.2016,0,1703.812
160,09.06.2016,0,1834.353
161,10.06.2016,0,1705.379
162,11.06.2016,0,1819.946
163,12.06.2016,0,2011.945
164,13.06.2016,0,1760.341
165,14.06.2016,0,1917.01
166,15.06.2016,0,1903.251
167,16.06.2016,0,1962.622
168,17.06.2016,0,1777.197
169,18.06.2016,0,2108.728
170,19.06.2016,0,2552.026
171,20.06.2016,0,2088.32
172,21.06.2016,0,2399.15
173,22.06.2016,0,2294.835
174,23.06.2016,0,2227.944
175,24.06.2016,0,2188.204
176,25.06.2016,0,2525.737
177,26.06.2016,0,2468.779
178,27.06.2016,0,2119.548
179,28.06.2016,0,2088.596
180,29.06.2016,0,2152.175
181,30.06.2016,0,2456.946
182,01.07.2016,0,2238.895
183,02.07.2016,0,2546.137
184,03.07.2016,0,2677.487
185,04.07.2016,0,2048.531
186,05.07.2016,0,2156.317
187,06.07.2016,0,2307.373
188,07.07.2016,0,2085.682
189,08.07.2016,0,2152.552
190,09.07.2016,0,2531.268
191,10.07.2016,0,2385.692
192,11.07.2016,0,1917.352
193,12.07.2016,0,2014.075
194,13.07.2016,0,1971.442
195,14.07.2016,0,1950.804
196,15.07.2016,0,1874.055
197,16.07.2016,0,2099.65
198,17.07.2016,0,2359.101
199,18.07.2016,0,1861.629
200,19.07.2016,0,1986.585
201,20.07.2016,0,1993.343
202,21.07.2016,0,1895.069
203,22.07.2016,0,2034.251
204,23.07.2016,0,2072.858
205,24.07.2016,0,2322.168
206,25.07.2016,0,1881.45
207,26.07.2016,0,2140.378
208,27.07.2016,0,1906.515
209,28.07.2016,0,1927.79
210,29.07.2016,0,2020.964
211,30.07.2016,0,2133.076
212,31.07.2016,0,2563.523
213,01.08.2016,0,2226.317
214,02.08.2016,0,2106.503
215,03.08.2016,0,2113.712
216,04.08.2016,0,2047.901
217,05.08.2016,0,1854.973
218,06.08.2016,0,2137.887
219,07.08.2016,0,2112.185
220,08.08.2016,0,1984.976
221,09.08.2016,0,1923.731
222,10.08.2016,0,2029.204
223,11.08.2016,0,2127.995
224,12.08.2016,0,2090.362
225,13.08.2016,0,2212.753
226,14.08.2016,0,2532.299
227,15.08.2016,0,1958.083
228,16.08.2016,0,2041.193
229,17.08.2016,0,1825.899
230,18.08.2016,0,2273.009
231,19.08.2016,0,2146.129
232,20.08.2016,0,2478.367
233,21.08.2016,0,2537.33
234,22.08.2016,0,2172.108
235,23.08.2016,0,2135.073
236,24.08.2016,0,2126.701
237,25.08.2016,0,2229.892
238,26.08.2016,0,2310.845
239,27.08.2016,0,2525.552
240,28.08.2016,0,2761.687
241,29.08.2016,0,2168.343
242,30.08.2016,0,2248.638
243,31.08.2016,0,2185.828
244,01.09.2016,0,2264.761
245,02.09.2016,0,2133.092
246,03.09.2016,0,2144.691
247,04.09.2016,0,2076.952
248,05.09.2016,0,1940.657
249,06.09.2016,0,1982.333
250,07.09.2016,0,1978.305
251,08.09.2016,0,2197.255
252,09.09.2016,0,2021.418
253,10.09.2016,0,2248.294
254,11.09.2016,0,2518.549
255,12.09.2016,0,2021.67
256,13.09.2016,0,1961.637
257,14.09.2016,0,2085.957
258,15.09.2016,0,2130.564
259,16.09.2016,0,2056.731
260,17.09.2016,0,2205.667
261,18.09.2016,0,2736.727
262,19.09.2016,0,2181.091
263,20.09.2016,0,2158.387
264,21.09.2016,0,2470.462
265,22.09.2016,0,2293.238
266,23.09.2016,0,2270.492
267,24.09.2016,0,2423.905
268,25.09.2016,0,2699.296
269,26.09.2016,0,2018.894
270,27.09.2016,0,2486.46
271,28.09.2016,0,2323.597
272,29.09.2016,0,2504.244
273,30.09.2016,0,2375.044
274,01.10.2016,0,2752.173
275,02.10.2016,0,2836.509
276,03.10.2016,0,2433.324
277,04.10.2016,0,2250.532
278,05.10.2016,0,2491.296
279,06.10.2016,0,2284.86
280,07.10.2016,0,2380.783
281,08.10.2016,0,2723.024
282,09.10.2016,0,2725.504
283,10.10.2016,0,2326.016
284,11.10.2016,0,2421.434
285,12.10.2016,0,2420.743
286,13.10.2016,0,2407.244
287,14.10.2016,0,2445.824
288,15.10.2016,0,2779.559
289,16.10.2016,0,2681.447
290,17.10.2016,0,2492.84
291,18.10.2016,0,2435.18
292,19.10.2016,0,2560.118
293,20.10.2016,0,2538.22
294,21.10.2016,0,2225.185
295,22.10.2016,0,2497.87
296,23.10.2016,0,2991.577
297,24.10.2016,0,2314.797
298,25.10.2016,0,2408.296
299,26.10.2016,0,2600.5
300,27.10.2016,0,2444.863
301,28.10.2016,0,2477.915
302,29.10.2016,0,2926.532
303,30.10.2016,0,2853.429
304,31.10.2016,0,2417.175
305,01.11.2016,0,2254.017
306,02.11.2016,0,2205.579
307,03.11.2016,0,2295.479
308,04.11.2016,0,2490.325
309,05.11.2016,0,2489.408
310,06.11.2016,0,2768.058
311,07.11.2016,0,2291.713
312,08.11.2016,0,2540.593
313,09.11.2016,0,2413.395
314,10.11.2016,0,2427.491
315,11.11.2016,0,2412.352
316,12.11.2016,0,2731.881
317,13.11.2016,0,2930.719
318,14.11.2016,0,2380.799
319,15.11.2016,0,2394.588
320,16.11.2016,0,2505.863
321,17.11.2016,0,2468.443
322,18.11.2016,0,2558.924
323,19.11.2016,0,2604.145
324,20.11.2016,0,2901.08
325,21.11.2016,0,2384.488
326,22.11.2016,0,2495.789
327,23.11.2016,0,2347.359
328,24.11.2016,0,2591.151
329,25.11.2016,0,2724.215
330,26.11.2016,0,2663.063
331,27.11.2016,0,2988.292
332,28.11.2016,0,2427.843
333,29.11.2016,0,2685.257
334,30.11.2016,0,2477.146
335,01.12.2016,0,2419.301
336,02.12.2016,0,2553.27
337,03.12.2016,0,2596.479
338,04.12.2016,0,2916.645
339,05.12.2016,0,2461.763
340,06.12.2016,0,2369.272
341,07.12.2016,0,2517.642
342,08.12.2016,0,2554.273
343,09.12.2016,0,2492.964
344,10.12.2016,0,2831.654
345,11.12.2016,0,3035.765
346,12.12.2016,0,2636.392
347,13.12.2016,0,2567.21
348,14.12.2016,0,2531.639
349,15.12.2016,0,2584.535
350,16.12.2016,0,2601.147
351,17.12.2016,0,2713.086
352,18.12.2016,0,3051.904
353,19.12.2016,0,2390.218
354,20.12.2016,0,2494.185
355,21.12.2016,0,2258.935
356,22.12.2016,0,2780.845
357,23.12.2016,0,2435.823
358,24.12.2016,0,3176.297
359,25.12.2016,0,3181.006
360,26.12.2016,0,2412.782
361,27.12.2016,0,2461.929
362,28.12.2016,0,2432.081
363,29.12.2016,0,2547.189
364,30.12.2016,0,2535.758
365,31.12.2016,0,2775.806
