Date,Hour,SUM
01.01.2016,0,27.277
01.01.2016,1,27.582
01.01.2016,2,25.885
01.01.2016,3,31.19
01.01.2016,4,39.432
01.01.2016,5,54.69
01.01.2016,6,100.813
01.01.2016,7,101.768
01.01.2016,8,84.634
01.01.2016,9,84.987
01.01.2016,10,73.269
01.01.2016,11,86.26
01.01.2016,12,125.369
01.01.2016,13,115.675
01.01.2016,14,154.957
01.01.2016,15,150.86
01.01.2016,16,103.7
01.01.2016,17,115.426
01.01.2016,18,181.766
01.01.2016,19,247.936
01.01.2016,20,272.258
01.01.2016,21,195.649
01.01.2016,22,106.223
01.01.2016,23,38.262
02.01.2016,0,26.219
02.01.2016,1,24.5
02.01.2016,2,28.436
02.01.2016,3,27.227
02.01.2016,4,38.916
02.01.2016,5,57.455
02.01.2016,6,110.562
02.01.2016,7,130.281
02.01.2016,8,145.541
02.01.2016,9,148.28
02.01.2016,10,137.499
02.01.2016,11,169.379
02.01.2016,12,135.811
02.01.2016,13,106.088
02.01.2016,14,116.12
02.01.2016,15,108.789
02.01.2016,16,100.804
02.01.2016,17,158.891
02.01.2016,18,190.021
02.01.2016,19,190.1
02.01.2016,20,180.342
02.01.2016,21,122.682
02.01.2016,22,99.088
02.01.2016,23,52.698
03.01.2016,0,36.781
03.01.2016,1,39.729
03.01.2016,2,29.938
03.01.2016,3,36
03.01.2016,4,50.195
03.01.2016,5,55.864
03.01.2016,6,130.959
03.01.2016,7,139.375
03.01.2016,8,161.118
03.01.2016,9,145.13
03.01.2016,10,151.217
03.01.2016,11,105.363
03.01.2016,12,148.719
03.01.2016,13,170.258
03.01.2016,14,149.445
03.01.2016,15,124.833
03.01.2016,16,111.517
03.01.2016,17,94.031
03.01.2016,18,153.995
03.01.2016,19,152.413
03.01.2016,20,162.44
03.01.2016,21,132.429
03.01.2016,22,93.757
03.01.2016,23,43.078
04.01.2016,0,33.664
04.01.2016,1,32.621
04.01.2016,2,28.087
04.01.2016,3,34.63
04.01.2016,4,47.195
04.01.2016,5,64.335
04.01.2016,6,104.205
04.01.2016,7,136.573
04.01.2016,8,94.118
04.01.2016,9,108.134
04.01.2016,10,120.513
04.01.2016,11,139.529
04.01.2016,12,136.956
04.01.2016,13,128.537
04.01.2016,14,144.27
04.01.2016,15,121.1
04.01.2016,16,128.704
04.01.2016,17,138.561
04.01.2016,18,175.729
04.01.2016,19,240.83
04.01.2016,20,212.484
04.01.2016,21,185.917
04.01.2016,22,132.619
04.01.2016,23,42.834
05.01.2016,0,29.115
05.01.2016,1,27.634
05.01.2016,2,24.878
05.01.2016,3,35.364
05.01.2016,4,48.233
05.01.2016,5,60.495
05.01.2016,6,117.122
05.01.2016,7,118.634
05.01.2016,8,144.088
05.01.2016,9,132.388
05.01.2016,10,76.543
05.01.2016,11,45.759
05.01.2016,12,60.114
05.01.2016,13,97.717
05.01.2016,14,108.102
05.01.2016,15,114.206
05.01.2016,16,113.586
05.01.2016,17,116.264
05.01.2016,18,203.417
