,Date,Hour,SUMS
0,01.01.2016,0,0
1,01.01.2016,1,0
2,01.01.2016,2,0
3,01.01.2016,3,0
4,01.01.2016,4,0
5,01.01.2016,5,0
6,01.01.2016,6,0
7,01.01.2016,7,1.792
8,01.01.2016,8,37.076
9,01.01.2016,9,56.787
10,01.01.2016,10,82.139
11,01.01.2016,11,166.541
12,01.01.2016,12,215.462
13,01.01.2016,13,121.396
14,01.01.2016,14,64.876
15,01.01.2016,15,0
16,01.01.2016,16,0
17,01.01.2016,17,0
18,01.01.2016,18,0
19,01.01.2016,19,0
20,01.01.2016,20,0
21,01.01.2016,21,0
22,01.01.2016,22,0
23,01.01.2016,23,0
24,02.01.2016,0,0
25,02.01.2016,1,0
26,02.01.2016,2,0
27,02.01.2016,3,0
28,02.01.2016,4,0
29,02.01.2016,5,0
30,02.01.2016,6,0
31,02.01.2016,7,2.298
32,02.01.2016,8,22.022
33,02.01.2016,9,52.084
34,02.01.2016,10,58.831
35,02.01.2016,11,80.131
36,02.01.2016,12,70.388
37,02.01.2016,13,44.902
38,02.01.2016,14,8.817
39,02.01.2016,15,0
40,02.01.2016,16,0
41,02.01.2016,17,0
42,02.01.2016,18,0
43,02.01.2016,19,0
44,02.01.2016,20,0
45,02.01.2016,21,0
46,02.01.2016,22,0
47,02.01.2016,23,0
48,03.01.2016,0,0
49,03.01.2016,1,0
50,03.01.2016,2,0
51,03.01.2016,3,0
52,03.01.2016,4,0
53,03.01.2016,5,0
54,03.01.2016,6,0
55,03.01.2016,7,0.941
56,03.01.2016,8,10.963
57,03.01.2016,9,29.654
58,03.01.2016,10,33.999
59,03.01.2016,11,41.897
60,03.01.2016,12,74.422
61,03.01.2016,13,51.462
62,03.01.2016,14,36.549
63,03.01.2016,15,0
64,03.01.2016,16,0
65,03.01.2016,17,0
66,03.01.2016,18,0
67,03.01.2016,19,0
68,03.01.2016,20,0
69,03.01.2016,21,0
70,03.01.2016,22,0
71,03.01.2016,23,0
72,04.01.2016,0,0
73,04.01.2016,1,0
74,04.01.2016,2,0
75,04.01.2016,3,0
76,04.01.2016,4,0
77,04.01.2016,5,0
78,04.01.2016,6,0
79,04.01.2016,7,0.983
80,04.01.2016,8,11.708
81,04.01.2016,9,74.778
82,04.01.2016,10,135.717
83,04.01.2016,11,171.084
84,04.01.2016,12,216.639
85,04.01.2016,13,123.941
86,04.01.2016,14,46.453
87,04.01.2016,15,0
88,04.01.2016,16,0
89,04.01.2016,17,0
90,04.01.2016,18,0
91,04.01.2016,19,0
92,04.01.2016,20,0
93,04.01.2016,21,0
94,04.01.2016,22,0
95,04.01.2016,23,0
96,05.01.2016,0,0
97,05.01.2016,1,0
98,05.01.2016,2,0
99,05.01.2016,3,0
100,05.01.2016,4,0
101,05.01.2016,5,0
102,05.01.2016,6,0
103,05.01.2016,7,2.414
104,05.01.2016,8,78.093
105,05.01.2016,9,216.216
106,05.01.2016,10,285.509
107,05.01.2016,11,277.771
108,05.01.2016,12,200.307
109,05.01.2016,13,190.337
110,05.01.2016,14,88.169
111,05.01.2016,15,0
112,05.01.2016,16,0
113,05.01.2016,17,0
114,05.01.2016,18,0
115,05.01.2016,19,0
116,05.01.2016,20,0
117,05.01.2016,21,0
118,05.01.2016,22,0
119,05.01.2016,23,0
120,06.01.2016,0,0
121,06.01.2016,1,0
122,06.01.2016,2,0
123,06.01.2016,3,0
124,06.01.2016,4,0
125,06.01.2016,5,0
126,06.01.2016,6,0
127,06.01.2016,7,3.276
128,06.01.2016,8,188.563
129,06.01.2016,9,330.998
130,06.01.2016,10,389.636
131,06.01.2016,11,389.66
132,06.01.2016,12,367.677
133,06.01.2016,13,279.081
134,06.01.2016,14,137.905
135,06.01.2016,15,0
136,06.01.2016,16,0
137,06.01.2016,17,0
138,06.01.2016,18,0
139,06.01.2016,19,0
140,06.01.2016,20,0
141,06.01.2016,21,0
142,06.01.2016,22,0
143,06.01.2016,23,0
144,07.01.2016,0,0
145,07.01.2016,1,0
146,07.01.2016,2,0
147,07.01.2016,3,0
148,07.01.2016,4,0
149,07.01.2016,5,0
150,07.01.2016,6,0
151,07.01.2016,7,3.681
152,07.01.2016,8,222.861
153,07.01.2016,9,353.309
154,07.01.2016,10,428.317
