Latitude (decimal degrees):	48.125
Longitude (decimal degrees):	11.583
Elevation (m):	520
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (CdTe) (kWp):	4.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0030,0.0,0.0,0.0,0.68,0.9,0.0
20160101:0130,0.0,0.0,0.0,0.5,0.76,0.0
20160101:0230,0.0,0.0,0.0,0.63,0.48,0.0
20160101:0330,0.0,0.0,0.0,0.94,0.34,0.0
20160101:0430,0.0,0.0,0.0,0.93,0.41,0.0
20160101:0530,0.0,0.0,0.0,0.63,0.62,0.0
20160101:0630,0.0,0.0,0.0,0.66,1.17,0.0
20160101:0730,0.0,9.27,2.62,1.3,0.34,0.0
20160101:0830,201.2,77.58,9.62,1.55,0.41,0.0
20160101:0930,331.12,110.29,14.92,2.61,0.41,0.0
20160101:1030,502.8,151.23,18.09,4.0,0.83,0.0
20160101:1130,1086.76,287.19,18.81,4.59,0.48,0.0
20160101:1230,1433.44,370.01,17.01,5.13,0.34,0.0
20160101:1330,779.56,216.32,12.88,5.44,0.83,0.0
20160101:1430,388.72,125.19,6.79,5.24,1.17,0.0
20160101:1530,0.0,0.0,-0.82,4.09,1.66,0.0
20160101:1630,0.0,0.0,0.0,2.34,2.07,0.0
20160101:1730,0.0,0.0,0.0,1.44,2.07,0.0
20160101:1830,0.0,0.0,0.0,0.73,2.14,0.0
20160101:1930,0.0,0.0,0.0,1.63,2.0,0.0
20160101:2030,0.0,0.0,0.0,1.42,2.28,0.0
20160101:2130,0.0,0.0,0.0,1.31,2.41,0.0
20160101:2230,0.0,0.0,0.0,1.2,2.55,0.0
20160101:2330,0.0,0.0,0.0,0.96,2.62,0.0
20160102:0030,0.0,0.0,0.0,0.68,2.76,0.0
20160102:0130,0.0,0.0,0.0,0.44,2.34,0.0
20160102:0230,0.0,0.0,0.0,0.1,2.21,0.0
20160102:0330,0.0,0.0,0.0,-0.14,1.86,0.0
20160102:0430,0.0,0.0,0.0,-0.32,1.79,0.0
20160102:0530,0.0,0.0,0.0,-0.42,1.79,0.0
20160102:0630,0.0,0.0,0.0,-0.55,1.59,0.0
20160102:0730,0.0,10.68,2.63,-0.57,1.72,0.0
20160102:0830,101.4,51.14,9.65,-0.57,1.86,0.0
20160102:0930,297.96,102.0,14.97,-0.09,1.93,0.0
20160102:1030,343.32,113.19,18.16,0.7,1.79,0.0
20160102:1130,492.72,149.2,18.9,1.34,1.66,0.0
20160102:1230,425.56,133.34,17.11,1.98,1.79,0.0
20160102:1330,254.0,91.58,13.0,2.35,1.93,0.0
20160102:1430,23.8,27.35,6.92,2.38,1.86,0.0
20160102:1530,0.0,0.0,-0.69,2.03,1.38,0.0
20160102:1630,0.0,0.0,0.0,1.65,1.03,0.0
20160102:1730,0.0,0.0,0.0,1.28,0.76,0.0
20160102:1830,0.0,0.0,0.0,1.09,0.41,0.0
20160102:1930,0.0,0.0,0.0,0.52,1.03,0.0
20160102:2030,0.0,0.0,0.0,0.49,0.83,0.0
20160102:2130,0.0,0.0,0.0,0.5,0.62,0.0
20160102:2230,0.0,0.0,0.0,0.46,0.55,0.0
20160102:2330,0.0,0.0,0.0,0.49,0.62,0.0
20160103:0030,0.0,0.0,0.0,0.64,0.76,0.0
20160103:0130,0.0,0.0,0.0,0.69,1.03,0.0
20160103:0230,0.0,0.0,0.0,0.84,1.24,0.0
20160103:0330,0.0,0.0,0.0,0.96,1.24,0.0
20160103:0430,0.0,0.0,0.0,1.15,1.17,0.0
20160103:0530,0.0,0.0,0.0,1.25,1.1,0.0
20160103:0630,0.0,0.0,0.0,1.27,1.1,0.0
20160103:0730,0.0,5.9,2.65,0.46,0.48,0.0
20160103:0830,35.36,31.29,9.69,0.5,0.69,0.0
20160103:0930,150.92,64.47,15.03,0.83,0.83,0.0
20160103:1030,179.52,72.25,18.23,1.17,0.9,0.0
20160103:1130,232.6,85.83,18.99,1.59,0.97,0.0
20160103:1230,449.44,137.86,17.23,1.96,1.03,0.0
20160103:1330,294.64,101.17,13.12,2.38,0.97,0.0
20160103:1430,198.4,77.4,7.05,2.66,1.31,0.0
20160103:1530,0.0,0.0,-0.55,2.15,1.93,0.0
20160103:1630,0.0,0.0,0.0,1.09,2.28,0.0
20160103:1730,0.0,0.0,0.0,0.5,2.28,0.0
20160103:1830,0.0,0.0,0.0,-0.29,2.41,0.0
20160103:1930,0.0,0.0,0.0,-1.13,2.48,0.0
20160103:2030,0.0,0.0,0.0,-1.43,2.41,0.0
20160103:2130,0.0,0.0,0.0,-1.78,2.34,0.0
20160103:2230,0.0,0.0,0.0,-1.84,2.28,0.0
20160103:2330,0.0,0.0,0.0,-1.79,2.0,0.0
20160104:0030,0.0,0.0,0.0,-1.76,1.79,0.0
20160104:0130,0.0,0.0,0.0,-1.59,1.52,0.0
20160104:0230,0.0,0.0,0.0,-1.39,1.1,0.0
20160104:0330,0.0,0.0,0.0,-1.21,0.83,0.0
20160104:0430,0.0,0.0,0.0,-1.15,0.62,0.0
20160104:0530,0.0,0.0,0.0,-1.11,0.62,0.0
20160104:0630,0.0,0.0,0.0,-1.02,0.62,0.0
20160104:0730,0.0,5.86,2.68,-0.58,1.17,0.0
20160104:0830,39.2,32.42,9.74,-0.03,1.38,0.0
20160104:0930,452.16,138.29,15.09,0.87,1.66,0.0
20160104:1030,873.28,236.24,18.32,2.25,2.28,0.0
20160104:1130,1118.76,293.06,19.1,3.32,2.9,0.0
20160104:1230,1428.52,363.97,17.35,3.94,3.79,0.0
20160104:1330,796.8,218.92,13.25,4.07,3.93,0.0
20160104:1430,264.96,94.29,7.19,3.86,3.79,0.0
20160104:1530,0.0,0.0,-0.41,3.33,3.52,0.0
20160104:1630,0.0,0.0,0.0,2.41,3.24,0.0
20160104:1730,0.0,0.0,0.0,1.78,3.17,0.0
20160104:1830,0.0,0.0,0.0,1.32,2.9,0.0
20160104:1930,0.0,0.0,0.0,1.05,2.55,0.0
20160104:2030,0.0,0.0,0.0,0.6,2.34,0.0
20160104:2130,0.0,0.0,0.0,0.14,2.21,0.0
20160104:2230,0.0,0.0,0.0,-0.43,2.14,0.0
20160104:2330,0.0,0.0,0.0,-0.96,2.07,0.0
