,Date,SUMS,,,,,,,
0,01.01.2016,746.069,,Average,2204.107164,,,January,37514.616
1,02.01.2016,339.473,,Median,2270.062,,,February,46723.539
2,03.01.2016,279.887,,Max ,4383.884,21.04.2016,,March,73408.53
3,04.01.2016,781.303,,Min,128.096,06.11.2016,,April,85678.811
4,05.01.2016,1338.816,,,,,,May,79251.186
5,06.01.2016,2086.796,,,,,,June,77960.546
6,07.01.2016,1719.149,,,,,,July,85673.914
7,08.01.2016,1898.84,,Average August,2966.495677,,,August,91961.366
8,09.01.2016,425.016,,Max August,,,,September,81901.308
9,10.01.2016,780.505,,,,,,October,52096.285
10,11.01.2016,716.292,,Average January,,,,November,42805.601
11,12.01.2016,726.189,,Min January,,,,December,47855.697
12,13.01.2016,591.761,,,,,,,
13,14.01.2016,2294.238,,,,,,,
14,15.01.2016,308.249,,,,,,,
15,16.01.2016,1274.62,,,,,,,
16,17.01.2016,865.616,,,,,,,
17,18.01.2016,2560.752,,,,,,,
18,19.01.2016,671.478,,,,,,,
19,20.01.2016,1876.734,,,,,,,
20,21.01.2016,754.742,,,,,,,
21,22.01.2016,2815.718,,,,,,,
22,23.01.2016,363.298,,,,,,,
23,24.01.2016,670.914,,,,,,,
24,25.01.2016,2037.309,,,,,,,
25,26.01.2016,1848.405,,,,,,,
26,27.01.2016,1967.72,,,,,,,
27,28.01.2016,1031.917,,,,,,,
28,29.01.2016,966.577,,,,,,,
29,30.01.2016,2610.354,,,,,,,
30,31.01.2016,165.879,,,,,,,
31,01.02.2016,547.166,,,,,,,
32,02.02.2016,1533.278,,,,,,,
33,03.02.2016,181.659,,,,,,,
34,04.02.2016,1188.18,,,,,,,
35,05.02.2016,772.872,,,,,,,
36,06.02.2016,2765.214,,,,,,,
37,07.02.2016,1667.839,,,,,,,
38,08.02.2016,1996.545,,,,,,,
39,09.02.2016,1024.651,,,,,,,
40,10.02.2016,1354.635,,,,,,,
41,11.02.2016,3268.334,,,,,,,
42,12.02.2016,3115.332,,,,,,,
43,13.02.2016,931.992,,,,,,,
44,14.02.2016,2242.699,,,,,,,
45,15.02.2016,2075.639,,,,,,,
46,16.02.2016,367.824,,,,,,,
47,17.02.2016,826.418,,,,,,,
48,18.02.2016,2850.95,,,,,,,
49,19.02.2016,1381.775,,,,,,,
50,20.02.2016,851.274,,,,,,,
51,21.02.2016,972.537,,,,,,,
52,22.02.2016,3132.136,,,,,,,
53,23.02.2016,653.743,,,,,,,
54,24.02.2016,2682.154,,,,,,,
55,25.02.2016,683.459,,,,,,,
56,26.02.2016,3369.795,,,,,,,
57,27.02.2016,2746.499,,,,,,,
58,28.02.2016,1295.833,,,,,,,
59,29.02.2016,243.107,,,,,,,
60,01.03.2016,648.129,,,,,,,
61,02.03.2016,1033.883,,,,,,,
62,03.03.2016,1283.952,,,,,,,
63,04.03.2016,3094.776,,,,,,,
64,05.03.2016,1737.4,,,,,,,
65,06.03.2016,2413.754,,,,,,,
66,07.03.2016,2862.666,,,,,,,
67,08.03.2016,2285.759,,,,,,,
68,09.03.2016,2841.301,,,,,,,
69,10.03.2016,3616.342,,,,,,,
70,11.03.2016,1913.166,,,,,,,
71,12.03.2016,1067.462,,,,,,,
72,13.03.2016,1110.932,,,,,,,
73,14.03.2016,2008.544,,,,,,,
74,15.03.2016,418.662,,,,,,,
75,16.03.2016,3749.004,,,,,,,
76,17.03.2016,4089.363,,,,,,,
77,18.03.2016,4074.391,,,,,,,
78,19.03.2016,3994.482,,,,,,,
79,20.03.2016,3600.542,,,,,,,
80,21.03.2016,2288.939,,,,,,,
81,22.03.2016,2623.121,,,,,,,
82,23.03.2016,3007.48,,,,,,,
83,24.03.2016,2192.956,,,,,,,
84,25.03.2016,1097.011,,,,,,,
85,26.03.2016,2185.123,,,,,,,
86,27.03.2016,3024.416,,,,,,,
87,28.03.2016,3053.153,,,,,,,
88,29.03.2016,3553.257,,,,,,,
89,30.03.2016,2538.564,,,,,,,
90,31.03.2016,3871.823,,,,,,,
91,01.04.2016,1130.744,,,,,,,
92,02.04.2016,3952.608,,,,,,,
93,03.04.2016,3755.22,,,,,,,
94,04.04.2016,3521.116,,,,,,,
